 "no comment"	无可奉告
 a moment ago	刚才
 a narrow strip of water	一衣带水
 a postulate	公设
 a pot of porridge	一锅粥
 a scheme	概型
 a senior in one household	家老
 a single person	半个人
 a slap on one face	耳刮子
 a slug	蜒蚰
 a term servant use to refer to their master	家爷
 a turn for the good	转机
 a vast expanse of whiteness	白茫茫
 a vowel follow by a nasal consonant	鼻韵母
 abandon car	僵尸车
 ability and wisdom	谞
 ablaze with light	万家灯火
 able and virtuous	贤良
 absolute right	对世权	绝对权
 abutment	基台
 abyss and ocean	渊海
 accident where the driver be not hold responsible	白撞
 accompaniment	佐餐
 accomplishment	素养
 account	定洋	帐户
 achievement	政绩
 active duty	现役
 activity	活性
 admission ticket	准考证
 adorable	萌萌哒
 adult still live with and depend on their parent	啃老族
 affair	事务
 again	又
 against the skin	衬
 age	年龄
 agent	施事
 agreement	协定
 alarm	警报
 alert	有眼力见儿	灵醒
 algebraic function	代数函数
 all day long	成天
 all kind and sort	各式各样
 all of a sudden	遽然
 all right?	好不好
 alley	弄堂
 allure	骚包
 altar	圣餐台
 amiability lead to harmony	和气致祥
 amiability make you rich	和气生财
 amiable as a spring breeze	春风和气
 an American	老美
 an Indian	阿三
 an old hand at sth	惯家
 analyst	分析家
 ancient time	古昔	自古
 angle-preserving	保角
 angry	愤然
 animal	走兽
 animal resemble a tiger	䝙
 ankle	脚脖子
 anthrax	癀病
 anti-fan	黑粉
 anxiety	懮虑
 any more	再也
 aplenty	多了去了
 appearance or colour of coat	毛色
 apple of one eye	宝贝疙瘩
 appliance	电器
 approval numb	批准文号
 arena	球馆
 argument	变元
 argumentative	矫情
 arm	军备
 array	数组
 as can be	不拉叽
 as in pyrimidine	嘧
 as one ages, one become more and more like a child	老小老小
 assort	什锦
 astonish to see	令人叹为观止
 at	在
 at one own expense	自费
 at one side	跟前
 at the height of the battle	战酣
 atchoo!	阿嚏
 atmosphere	气圈
 attractive and easy mark	肥羊
 aunt	舅妈
 auscultation and smelling, one of the four method of diagnosis 四診|四诊[si4 zhen3]	闻诊
 authentic	正港
 autograph session	签唱会
 autotroph	自养生物
 available	资用
 away	弄走
 awesome	倍儿棒	板扎	棒棒哒	酷毙
 aye aye!	嗻
 babble	唧啾
 backspin	下旋
 ball-breaking	蛋疼
 ballast	道碴
 band	频段
 bang	乓	咣	啪	啷	嘭	砰
 bang!	嗙
 banknote with a value in silver	银票
 banner	旝
 barber shop	理发厅
 barely	甫
 barren	埆
 bastard	丫挺	龟儿子
 be it that...?	得无
 be you blind or something?	没长眼睛
 bear	怒潮
 beat a drum	冬
 beat of the heart	突突
 beautiful	㑇	鬘
 beautiful and tranquil	幽美
 beautiful inside and out	内外兼修
 beautiful woman	正妹	蛾眉
 before	从先
 begin of menstrual cycle	入月
 behaviour	操行
 bell	铃
 bento	御便当
 between the eyebrow	眉心
 bib	围嘴
 bicycle	单车
 big boob	波霸
 big boob but no brain	胸大无脑
 bird call	唂
 birthday	母难日
 black	黎
 black box	黑匣子
 black hole	黑洞
 black person	老黑
 bladder	尿泡
 blastocyst	胚泡
 blastodermic vesicle	胚囊泡
 bleat of a deer	呦呦
 block	锧
 blooper	穿帮
 blow gently	习习
 blow hole	吹孔
 blow the trumpet	吹喇叭
 blow violently	劲吹
 blowout	井喷
 bonus stock or share, i.e. share issue fully or partly pay to an exist shareholder in a company, generally on a pro rata basis	红股
 boo hoo	呜呜
 border, edge	滚边	绲边
 boss son	小开
 boundary	畛域
 bouquet	捧花
 bowl or drink vessel	瓯
 box	缄
 boy	小子	男娃
 branch of the arm force	兵种
 bravado	虚张声势
 break or snap	咔嚓	喀嚓
 breakfast and supper	饔飧
 bridge	网桥
 brigand	狗贼
 bright	炅	了
 brilliant	神乎其技
 broadcast	广播员
 bromance	基情
 brothel	青楼
 brother	昆仲
 brother son or daughter	犹子
 bubble noise	啵啵
 bud	蓓
 bull-headed	牛脖子
 bureau-level	局级
 bureaucracy	官僚习气
 burial complex	古墓葬群
 bustle	闹忙	闹猛
 but	则
 but also	而且
 buttock	屁屁
 buzz	嗡
 bye-bye	拜拜
 cabbage	莲花白
 cabin	房舱
 cabinet	内阁
 cable	电缆
 cache	缓存
 caliph	哈里发
 campaign	竞选活动
 can be good	再好不过
 can live under the same sky	不共戴天
 can or cannot?	会不会
 candidiasis	念珠菌症
 capital	柱头
 car-free zone	徒步区
 card	名片
 carriage	座车	辒辌
 carrier	带原者
 carry suspend or underslung	吊斗
 case	案	病例
 cassia	决明
 cassia seed	决明子
 catastrophe theory	突变理论
 caterpillar	蛓
 catheter	导液管
 cell	单元格
 cellophane noodle	冬粉
 central moment	中心矩
 cerebral concussion	脑震荡
 channel	通道
 character repertoire	字汇
 chastity	贞操
 chatter or giggle	唧唧喳喳
 check	登机手续
 chest	胸前
 chest stick to back	前胸贴后背
 child	伢	伢子	伢崽
 child, particularly refer to the son who resemble his father	家儿
 chirp	叽叽喳喳
 chirp of insects, sigh noise etc	唧唧
 chirp, twitter, etc	喳
 chopsticks	梜	梜提	箸
 chunk of ice	冰坨子
 circulation	发行额
 civilian use	民用
 clang	哐	哐啷	嘡	铿	铛铛
 clank	喀啦喀啦
 class	侇	班上	阶级
 class representative	班代
 clatter	噶嗒
 claw	爪子
 cleavage	事业线
 clever and quick-witted person	机灵鬼
 click	咔嗒	喀哒
 client	委托人
 clink of jewel	玲珑
 close childhood friend whom one grow up with	发小
 close friend	麻吉
 close kin	懿亲
 clothe iron	钴鉧
 cloud	云彩
 club	球棍
 clunk	咔哒声
 cluster bomb	子母弹
 cluster of	累累
 coarse crow	嘶哑
 coaster	杯垫
 cockroach	曱甴
 cold-rolled	冷轧
 collegiate bench	合议庭
 colour	彩
 come on, you can deny it!	有木有
 come out	露苗
 coming-of-age ceremony at 20 year	加冠
 commutative algebra	交换代数	交换代数学
 company	公司	行号
 compensation	代偿
 complacency lead to loss, modesty bring profit	满招损,谦受益
 complex analytic function theory	解析函数论
 complex variable	复变
 component	分量
 composition	构图
 comprehensive survey	面面观
 concert flute	长笛
 condom	如意套
 conference call	电话会议
 connotative mean	内涵意义
 considerate	大心
 consumptive disease, chronic deficiency disorder due to impair function of inner organs, deficiency of qi, blood, yin and yang	虚损
 contact	接点
 content	乐滋滋
 content of the cup	杯中物
 context	上下文
 contract	合同
 convolvulvus	旋覆花
 cook food	饔
 cook pot	罉
 cop	雷子
 coprime	互素
 corn	包米	老玉米
 corrupt and negligent of his duty	贪渎
 corrupt officiate	黑哨
 cosmetic contact lens	放大片
 cost	成本
 coughing, grunt etc	吭吭
 country bumpkin	老帽儿
 country fair	圩
 country folk	阿乡
 court dress	褶
 courtesy name	台甫
 courtyard	院坝
 covariance	协方差
 coward	俗辣
 cramp	痛性痉挛
 crash	哐哐啷啷
 crash sound	哗啦啦	巆	欻
 creak	吱嘎	咯吱	嘎吱
 creak and grate	吱吱嘎嘎
 creak or groan	吱
 crew	包承组
 crisscross	阑干
 critical juncture	节骨眼
 crop	农作物
 current age	现年
 currently high than at the previous day close	红盘
 currently low than at the previous day close	绿盘
 curtain	幕布
 cutover	割接
 damn it!	他妈的
 damn wretch	鸟人
 dance lightly and gracefully	翩翩起舞
 dang!	我去
 dark	黧黑
 daughter son	外孙子
 dauntless	气冲霄汉
 day by day	日趋
 daybreak	平旦
 debris	岩屑
 debris flow	土石流
 decline	暆
 deduction	演绎法
 deep and clear	潇
 deeply worry	焦灼
 defence	防务
 defence interest	国防利益
 defend	驻守
 deficit	赤字
 definitely	誙
 degradation	降解
 delicate colour	粉艳
 demonstration	示威游行
 denim	丹宁
 dense, thick	森然
 deodorant	体香剂
 department of agriculture	农业厅
 department of environmental protection	环保厅
 department of finance	财税厅
 department-level	处级
 deposit	矿床
 depositor	储户
 depot	车厂
 depression	忧郁症
 deprivation of freedom	自由刑
 dereliction of duty	有亏职守
 derivative	微商
 derive category	寻来范畴
 descend from the same grandfather or great-grandfather	叔伯
 desert	沙碛
 desolate and lonely	离索
 detach	独栋
 detective	探长
 developer	发展商
 diagnosis base on the patient pulse	脉诊
 difference quotient	差商
 difficult	难缠
 difficult to approach	难于接近
 dim	暧
 dim-witted	少根筋
 dimension	维数
 ding dong	丁冬	叮叮当当	叮咚	叮当	叮当响	当当
 ding-a-ling	玎玲
 direct and efficient	干脆利落
 dirty	埋汰
 dishonest	坑爹
 disk	磁盘
 disposable diaper	尿不湿
 dissent	持不同政见
 dissident	持不同政见者
 distance-preserving	保长
 distance-preserving correspondence	保角对应	保长对应
 distant	窎
 distant part	远门
 distinct style	气韵
 divide by	除以
 dizzy and faint	头昏目晕
 do	嫑
 do me the honor	赏脸
 docile	老实巴交
 dock	船坞
 document	牒
 dog meat	香肉
 dong	当
 double periodicity	双周期性
 doubt	疑窦
 dowager	太夫人
 dragonfly	叮叮猫
 draw	平手
 drill	凿岩
 drill platform	钻井平台
 drink goblet	鍴
 drink money	酒资
 drive force	驱力
 driver	驾驶人
 drizzle rain	霢霂
 drum	壴
 duality	对偶性
 duck egg	鸭子儿
 during one life	生前
 dusk	擦黑儿
 eagle	老鹰
 early childhood	小儿
 earpick	耳挖勺
 eccentricity	偏心率
 ecchymosis	瘀斑
 edema	水肿
 effect	效验
 effeminate man	娘炮
 egg	鸡蛋
 egg white	蛋清
 elder brother	阿哥
 elderly lady	嬷嬷
 electrical energy	发电量
 elegant and ornate	锦心绣口
 elegant and supple	袅袅婷婷
 elephant	大笨象
 elliptic curve	椭圆曲线
 elliptic function	椭圆函数
 elliptic integral	椭圆积分
 embryo sac	胚囊
 end	底止
 end-to-end encryption	点对点加密
 endothelium	内皮
 envoy	使节
 epidemic	流行性
 equal	埒
 equal sign =	等号
 equal to the capital	对本
 esotropia	内斜视
 eunuch	老公
 evapotranspiration	蒸散
 even	尚且
 even mist	沆瀣
 every day	见天
 every year	比年
 everyone	诸位
 everything break and in disorder	七零八落
 excellent	盖帽儿
 except	除过
 excess	免赔
 excrement	大恭
 excuse me for not go out to meet you	有失远迎
 expect value	期望值
 express admiration or surprise	嚯
 expression	表情
 extension	分机
 extra	号外
 extremely	不拉几
 factory	厂子
 fair	白嫩
 fair and clear	白净
 faithful to the death to her husband memory	三贞九烈
 fall rain	霎霎
 famine	凶荒
 fan of Apple product	果粉
 fanboy	脑残粉
 far more than	何啻
 farewell song	离歌
 farmer	庄稼人
 fat	膆
 father	爸爸	老爹	阿爸
 father father	爷爷
 father father father	老爷爷
 father father mother	老奶奶
 father father sister	姑奶奶
 father marry sister	姑妈
 father old brother	大爷
 father old brother wife	大娘
 father sister	家姑
 father young brother wife	婶子
 fatten preparation	催肥剂
 fatty	肥腻
 favourite	嬖
 feeder pig	壳郎猪
 female	牝
 female gang leader	大姐头
 female servant or concubine in home of the rich	家姬
 fetishism	性物恋	恋物	恋物狂	恋物癖
 few	尐
 field	字段	栏位
 fierce	駻
 file	文档
 film	胶片	软片
 firecracker	爆仗
 firefly	蚈
 first fundamental form	第一基本形式
 first of all	先不先
 flame mad	鬼火绿
 flash memory	闪存
 flash sale	秒杀
 flashlight	电棒
 flicker	幢幢
 flippant and insincere	浮滑
 float point	浮点
 floating-point numb	浮点数
 flop sound	哔哔啪啪
 flourish	景气
 flow of people from the countryside into the city	盲流
 flower bud	花骨朵
 flutter or flap of wing	扑棱
 folder	资料夹
 food	口腹
 fool	二货
 foot	脚丫子
 footer	地脚
 footman	长班
 footstep	橐橐
 for a long time	久违
 for crack, slap, clap, clatter etc	劈啪
 for fear of offend sb	碍面子
 for hum or whimper	呜
 for inspection	拦检
 for plop sound	骨都都
 for reference	备考
 for the sake of ...	看在
 for the sound of a bird, an empty stomach etc	咕
 for the sound of horsehoofs	嘚
 forehead	眉宇
 foreign	番客
 foreign land	番邦
 form of address for one wife	娘子
 form or rise	渰
 format	业态
 former time	往初
 fraternal	异卵
 freedom of association	结社自由
 friend of the family	世交
 friend with benefit	床友
 frivolous	轻浪浮薄
 from time to time	三不五时
 front page	头版
 fuck!	娘希匹
 fully display one capability	大显身手
 functional analysis	泛函分析
 fussbudget	事儿B	事儿妈
 fuzzy	蒙眬
 gallery and pit	坑井
 gang	团伙
 gang leader	扛把子
 garish	浓艳
 gather place	场子
 gather place of fish or other creature	渊薮
 gay	屁精
 gay guy	基佬
 gear	齿轮
 gecko	盐蛇
 general	普级
 gentle and quiet	文静
 gentle laughter	呵呵
 gentry	郡望
 genus	亏格
 geometric topology	几何拓扑	几何拓扑学
 ghost-writer or substitute calligrapher	笔替
 giggle	哧
 giggle noise	咭咭呱呱	唧唧嘎嘎	叽叽嘎嘎
 girl	女娃	马子
 girl traffic into a brothel to work as prostitute	讨人
 girlfriend of a marry man	小蜜
 give it a go	一下
 give me a break!	歇了吧
 glass bottle	揦子
 go on foot	十一路
 good friend	闺蜜
 good shot!	好球
 good-for-nothing	废柴
 graceful	便嬛	婀娜	婵媛
 grade	分数
 graft	接枝
 granary	仓廪
 grandfather	阿公
 grave	墓葬
 gray crew	地勤人员
 green zone	绿区
 grey hair	华发
 grip	握力
 grudge	过节儿
 guarantee of financial support for the rest of one life	长期饭票
 guesthouse	民宿
 guide	导览
 gurgle	咯咯
 gutter	天沟
 ha!	哈
 haircut	剪头发
 half true and half false	半真半假
 hall	堂	厅
 hangar	机库
 hard disk	硬碟
 hardware	硬体
 haughty	牛气
 have abundance year aft year	年年有余
 have no fix duty	闲杂
 have the same father but different mother	同父异母	异母
 have the same mother but different father	同母异父
 have what status	算老几
 he he	嘿嘿
 he-man	男子汉大丈夫
 head ornament	佛
 health department	卫生厅
 hear	听证会
 heat	暑气
 height	身高
 height of a house	举架
 hemp sandalwood	屩
 hen	鸡婆
 hen egg	鸡子儿
 henchman	狼仆
 henpeck	耙耳朵
 hernia	脱肠
 high	峻
 high administrative post in border area	都护
 high and taper peak or summit	峰
 high class prostitute	长三
 high dimensional	高维
 high dimensional algebraic variety	高维代数簇
 high dimensional space	高维空间
 high-end, elegant, and classy	高大上
 hill	塂	山包
 hinge	合扇
 hip bone	髎
 hit	访问量
 hold the feudal overlord and you control his vassal	挟天子以令诸侯
 hold the feudal overlord and you control the whole country	挟天子以令天下
 hole in one	一杆进洞
 honourable	光明正大
 hood	引擎盖
 horoscope	星座运势
 hot bath	汤浴
 hot or pungent	辛
 hot pepper	海椒
 house	屋宇
 how be one to know?	焉知
 how many	几许
 how much	几多
 hum and clatter	噶啷啷
 human remain	遗骨	遗骸
 humanity and social science	人文社科
 humble opinion	鄙见
 humour	幽默
 hurry	造次
 hurt	疼
 husband	夫婿	老公
 husband elder brother	大伯子
 husband mother	家娘
 husband or wife	老伴
 husky	岔调
 hypocrite	乡愿
 icon	图签
 idea	想头
 identical	同卵
 idiot	二屄
 idle	阿混
 illegitimate child	野种
 illegitimately confer	名不正言不顺
 immature soil	生土
 impactful	弫
 impedance	阻抗
 implementation	实施例
 import good	舶来品
 impotence	阳痿
 in	乎
 in an instant	一晃
 in black and white	白纸黑字
 in high demand	紧俏
 in it	在内
 in neat formation	严整
 in pass	顺带
 in the prime of youth	妙龄
 in the right way	得法
 in this way	如斯
 incontinence	失禁
 increment	差分
 indeterminate equation	不定方程
 index	指数
 indicate the begin and continuation of an action or a state	起来
 indicator	指征
 indistinct	讷讷
 indomitably chaste	节烈
 inebriate	酲
 inept adviser	狗头军师
 infant	孩提	毛孩子
 infertile	瘠薄
 inharmonious	格格不入
 ink stone or ink slab	砚池
 inner world	内心世界
 innuendo	隐射
 instrument to even out the grain in a measure vessel	斠
 intact	全须全尾儿
 integer	整型
 intense	重口味
 interest in a third person	外心
 international level	国际级
 interrogation, one of the four method of diagnosis 四診|四诊[si4 zhen3]	问诊
 intersection	交叉口
 invalid	病秧子
 it just the pits!	伤不起
 itinerant political adviser	说客
 itinerary receipt	行程单
 jade tablet or sceptre hold by a duke at ceremony	瓛
 joyous and harmonious	其乐融融
 judge and prosecutor	司法官
 juice	汁水
 just and incorruptible official	青天大老爷
 just now	坎坎
 just passable	差强人意
 kaboom	噶嘣
 kerosene	火油
 key	锁匙
 key location	津要
 knee	磕膝盖
 knock	磕磕
 knucklebone	嘎拉哈
 labourer	工夫
 land of fish and rice	鱼米之乡
 large stone	礐
 lass	妮子
 late	晚点
 latrine	茅厕
 lattice	格网
 laugh out loud	哈哈
 laugh sound	格勒
 law	法度
 lead aircraft	长机
 league	联赛
 learn helplessness	习得性无助感
 left	左派
 left unattended	乏人照顾
 leg	脚杆
 legitimacy	正当性
 lesbian	姬佬
 letter	书简
 leverage	资金杠杆
 libration	天平动
 licence	牌照
 light	灯光
 like	伣
 limit	半桶水
 linguistic field	语域
 lisp	大舌头
 little devil	熊孩子
 little kid	小萝卜头
 loan to agriculture	农贷
 locust	蚂蚱
 logic	名学
 long	昶
 long time	长久
 loony	怪咖
 loop of rope	套儿
 lord	老爷
 lovage	欧当归
 love	恋爱
 love aperture	情窦
 low-budget eatery	快炒店
 low-grade brothel	窑子
 made of dough	面塑
 maid	女佣
 maiko	舞妓
 maize	包谷
 majority	大多数
 malaria	疟子
 male	牡
 male chauvinism	直男癌
 male donkey	叫驴
 male member	胯下物
 man	载人
 man in power	大拿
 mantis	刀螂
 manual	说明书
 many	那
 margin	页边
 marker of surprise, sudden realization, reminder	喔
 marmalade	橙皮果酱
 marriage contract	婚书
 marsupial	有袋类
 massage	按跷
 maternal grandfather	外爷
 maybe	搞不好
 meal	正餐
 meek and civil in public, but a tyrant at home	窝里横
 member of local militia	团丁
 memory	记忆体
 menstrual pad	M巾
 menstruation	天癸
 mental illness	神经衰弱
 menu	选单
 meow	喵
 metal horn attach as shield to horse or to the axle of a chariot	方釳	釳
 metallic sound	当啷
 micro-miniskirt	齐B小短裙	齐B短裙
 middleman	牙人
 military counsellor	军师
 military use	军用
 mimicry	拟态
 mini truck	小发财	发财车
 minister	郎
 miserable	悲催
 miserly	悭吝
 missile submarine	导弹潜艇
 mix	混音
 mobile phone	爪机
 mode	调式
 modifier	修饰语
 mole	痦
 moment	原点矩
 money	钿
 money for a journey	资斧
 monk and nun	僧尼
 monthly salary of an official	稍食
 moreover	抑且
 morning	前晌	晨间	头午
 mother body	母体
 mother brother wife	妗子
 mother father	外公
 mother mother	外婆	姥姥
 mother sister	姨妈
 mother-in-law	家婆
 motorcycle	机器脚踏车
 mourn apparel	絻
 mouse	耗子
 move	着
 muddleheaded	悖晦
 multiply with	乘以
 murder	杀人案件
 mushroom	菌子
 musician at a wed cortege or funeral procession	吹鼓手
 must	非得
 mutter	呫嗫
 my	阿拉
 my ass!	你个头	个头
 my boy	老弟
 my elder brother	家兄
 my father	家严	家父
 my husband	外子
 my maternal uncle	家舅
 my mother	家慈	家母
 my old sister	家姐
 my paternal grandfather	家祖
 my sister-in-law	家嫂
 my young brother	家弟
 nadir	天底
 naked	三点全露
 name above	前揭
 name not encounter in the classic	名不见经传
 name of a kind of leather	吉莫
 name of a mountain in Gansu, where the set sun be suppose to enter the earth	崦嵫
 nano-	毫微
 nanometer	奈米
 narrow mountain pass	垭口
 national-level	国家级
 native of Jiangxi 江西[Jiang1 xi1]	傒
 native place	桑梓
 natural and unrestrained	落落大方
 natural note	本位音
 natural sign, ♮	本位号
 neck	头颈
 negligent homicide	过失致死罪
 neighbourhood of a point	一点邻域
 neodymium	釢
 new-born baby	小毛头
 nightfall	侵夜
 no	毋
 no good	孬
 no need to see me out	留步
 no sooner say than do	说时迟,那时快
 non-abelian	非阿贝尔
 noon	亭午
 normal distribution	正态分布
 nose	鼻头
 not a chance	没戏
 not accustom to the climate of a new place	不服水土
 not bad	不赖
 not bear a name	无记名
 not end	未央
 not have come to its term	未艾
 not that great	不咋地
 not to have deteriorate a bit	不减当年
 not to speak	不语
 not too encourage	不妙
 note	便条	音符
 nothing special to look at	其貌不扬
 novice	小白
 now	这会儿
 nowadays	这年头
 nth power	次方
 nuisance	劳什子
 numb plus classifier	名数
 nurture make second nature	熏陶成性
 o'clock	点钟
 obedient, well-behaved	乖
 objectionable	不对盘
 obscure	含含糊糊
 observation, one of the four method of diagnosis 四診|四诊[si4 zhen3]	望诊
 obstruct government administration	妨害公务
 obviously	眼见得
 of course	那是
 of low purity	水丝
 of standard purity	足色
 of the same type	一水儿
 of 環境保護部|环境保护部[Huan2 jing4 Bao3 hu4 bu4]	国家环保总局
 offensive	攻势
 offering	斋果
 oh!	唵	嚄
 oil, salt, soy sauce and vinegar	油盐酱醋
 old age pension	国民年金保险
 old and fade	人老珠黄
 old brother wife	嫂子
 old but still alive	老不死
 old fellow	老家伙
 old fool	老东西
 old man	老头子
 old sister husband	姐夫
 old time	古早
 on a large scale	大举
 on one own initiative	自动自发
 one answer the other	一递一声
 one divide into two	两分法
 one grandfather	太爷
 one loves, one of the eight distress 八苦[ba1 ku3]	爱别离苦
 one part	本分
 one thousand or almost one thousand	千儿八百
 one wife	房下
 oneself	自个儿
 open shot	第一炮
 opera singer	戏子
 operation	手术	运算
 opponent	对头
 opposite	对面
 or bull	兕
 or of stagnant phlegm	梅核气
 orca	逆戟鲸
 order	订单
 organic	器质性
 orphan	孤哀子
 outside the sphere of civilization	化外
 outstand	卓异
 outwardly cold or retire but deep and passionate inside	闷骚
 outwardly kind but inwardly evil	腹黑
 overdraft	透支
 overlap part of Chinese gown	衽
 overly sensitive	玻璃心
 oversubscribe	超额认	超额认购
 own person	自我的人
 pacifier	安抚奶嘴
 palpitate with fear	怔忡
 panties	内内
 parasol	旱伞
 parent	爹娘
 partial differential	偏微分
 particle	粒子
 partner	合作方
 party platform	党纲
 party school	党校
 passenger transportation around Chinese New Year	春运
 past	过去
 paste	糨子
 paternal grandmother	王母
 pathogen	病原体
 patience	耐心烦
 patrol	巡逻队
 patter of rain	淅沥
 patter sound	滴答
 patter, splatter, click	吧嗒
 peace and prosperity	承平
 peach of immortality, keep by Xi Wangmu	寿桃
 peak	山峰
 pedicab driver	板儿爷
 pedicure	扦脚
 peel	果皮
 peep show	西洋镜
 pemphigus	天疱疮
 pencil	铅笔
 pendant ornament	珰
 penis	㞗	玉茎
 penny	子儿
 perfect wife	贤妻
 perform artist	优伶
 permeate the whole place	四溢
 person from Taipei 臺北|台北[Tai2 bei3]	天龙人
 personal letter	手札
 pervert	色胚
 pimp	三七仔
 pin and needle	针毡
 ping	乒
 pipe	烟斗
 pitiable	可怜见
 place	一席之地
 plane curve	平面曲线
 platform screen door	月台幕门
 please amend my write	斧正
 please kindly accept	哂纳
 pledge	当头
 plump and strong	膘肥体壮
 plural for pronoun	哋
 podium	领奖台
 poet	骚客
 point set	点集合
 pointe shoe	足尖鞋
 polynomial equation	多项式方程
 polyp	息肉
 pony	款段
 poop	㞎	㞎㞎
 poor devil	倒霉蛋
 pop	噗
 popular	抢手
 population	母群体
 position	职级
 possible	得了
 postman	邮差
 pot-scrubbing brush, made from bamboo strip	筅帚
 potato	山药蛋	洋芋
 pour	瓢泼
 powerful	骙
 practical	实穿
 practice of the past	往例
 precious stone	礐
 predestine relationship	宿缘
 predicate	谓语
 prefecture-level	地级
 premature beat	早搏
 preparation	制剂
 prepare to off humble hospitality	敬备
 presentation pack	邮折
 president	校长
 presto	急板
 pretty girl	美眉	靓女
 price	价目	物价
 prism	三棱镜
 prison	笆篱子	苦窑
 private investigator	征信社
 promoter	穴头
 pronto	跟手
 prostitute	窑姐
 province-level	省级
 pseudosphere, a surface in ordinary space of constant negative curvature	拟球
 public order law	社维法
 pull-top can	易开罐
 pulse feel and palpitation, one of the four method of diagnosis 四診|四诊[si4 zhen3]	切诊
 pumpkin	倭瓜	番瓜	面瓜
 punch bag	出气筒	受气包
 puppy	狗崽子
 purse snatcher	拎包党
 pushover	软柿子
 quack	呷呷	嘎嘎
 quality	质素
 quiet and seclude	清幽
 rainbow	䗖蝀
 rank	级别
 rapid breathe	呼哧呼哧
 rationalism	唯理论
 raw or cold	生冷
 real time	实时
 real variable	实变
 really cool, awesome	真牛
 receivable	应收
 reception	收讯
 recession	经济衰退
 record machine	录音机
 recoverable	可采
 red armband	红箍儿	红臂章
 red notice	红通
 redundancy	冗长度
 reform	维新
 refurbish	官翻
 regulator	二级头呼吸器
 religious assembly	法会
 religious ritual on set out for war	祃
 rely on inaccessible territory	凭险
 remarkable	斐然
 remarkably beautiful	绝色
 replace with	代之以
 research	科研
 researcher	科研人员
 resignation	辞呈
 resistance	电阻
 resort	度假区
 restaurant	菜馆
 retirement pay	终身俸
 return	回报
 return visit	回访
 revere new	敬悉
 revise edition	重编
 revolt behaviour	德性
 rice	大米	白米	米饭
 rice vessel	卢
 rich	称钱
 rich, good-looking guy	凯子
 right	右派
 ring	戒子	戒指	指环	鉠	锳	电话铃声
 rogue	白相人
 roll	轧辊
 roll around	骨碌碌
 rotten and smelly	餯
 round and fat	滚瓜溜圆
 rubber band	猴皮筋
 rug	卡垫
 ruin wall	残垣
 rumble	嘎啦	轰隆
 run around parent knee	绕膝
 rush down	奔泻
 rustic	土得掉渣
 rustle sound	稀里哗啦
